Entry,Name,Processing condition,,Cluster Number (0 to 11),,Al,Cu,Mn,N,Ni,Ti,S,Fe,Zr,P,Si,V,Mo,Co,C,Nb,B,Cr,,(Ultimate) Tensile strength (MPa),Yield strength (MPa),Ductility (%),,Cluster Number,Cluster label
1,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.4,0,0.035,0.25,0,0.25,0,0.225,0,0,0,,745,440,21,,0,Carburized – quenched (oil) – wear-resistant surface steel
2,AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 100 mm (4 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,689,510,25,,10,Quenched (water) & tempered – high-strength structural steel
3,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,786,615,22,,10,Quenched (water) & tempered – high-strength structural steel
4,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 25 mm (1 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,1035,917,16,,10,Quenched (water) & tempered – high-strength structural steel
5,AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,717,550,24,,10,Quenched (water) & tempered – high-strength structural steel
6,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 100 mm (4 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,696,540,25,,10,Quenched (water) & tempered – high-strength structural steel
7,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.4,0,0.035,0.25,0,0.25,0,0.225,0,0,0,,931,620,14,,0,Carburized – quenched (oil) – wear-resistant surface steel
8,AISI 4027 Steel,"Normalized, 25 mm (1 In.) Round",,9,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,640,420,25,,9,Normalized – general-purpose steel (round normalized stock)
9,AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 100 mm (4 In.) Round",,4,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,521,341,34,,4,Normalized (air cooled) – general-purpose steel
10,AISI 4118H Steel,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",,4,,0,0,0.8,0,0,0,0.04,98.085,0,0.035,0.225,0,0.115,0,0.2,0,0,0.5,,534,376,34,,4,Normalized (air cooled) – general-purpose steel
11,AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 25 mm (1 In.) Round",,8,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,793,441,22,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
12,AISI 4130 Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,917,841,20,,10,Quenched (water) & tempered – high-strength structural steel
13,AISI 4118 Steel,"Direct Quenched From Pot, Carburized, 150C (300F) Temper",,5,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,1225,903,9,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
14,AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 150C (300F) Temper, 100 mm (4 In.) Round",,8,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,641,300,28,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
15,AISI 4130 Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 100 mm (4 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,841,655,20,,10,Quenched (water) & tempered – high-strength structural steel
16,AISI 4130H Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 25 mm (1 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,1110,951,14,,10,Quenched (water) & tempered – high-strength structural steel
17,AISI 4130 Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,786,635,21,,10,Quenched (water) & tempered – high-strength structural steel
18,AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,731,460,25,,4,Normalized (air cooled) – general-purpose steel
19,AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 100 mm (4 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,615,400,27,,4,Normalized (air cooled) – general-purpose steel
20,AISI 4118H Steel,"Mock Carburized, 150C (300F) Temper, 14 mm (0.55 In.) Round",,8,,0,0,0.8,0,0,0,0.04,98.085,0,0.035,0.225,0,0.115,0,0.2,0,0,0.5,,986,645,17,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
21,AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 100 mm (4 In.) Round",,4,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,814,485,22,,4,Normalized (air cooled) – general-purpose steel
22,AISI 4140 Steel,"Oil Quenched, 100 mm (4 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,772,580,23,,6,Quenched (oil) & tempered – high-strength structural steel
23,AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,670,435,25,,4,Normalized (air cooled) – general-purpose steel
24,AISI 4130H Steel,Normalized At 870C (1600F),,4,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,670,435,25,,4,Normalized (air cooled) – general-purpose steel
25,AISI 4130H Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,670,435,25,,4,Normalized (air cooled) – general-purpose steel
26,AISI 4140 Steel,"Oil Quenched, 25 mm (1 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,965,931,19,,6,Quenched (oil) & tempered – high-strength structural steel
27,AISI 4140 Steel,"Oil Quenched, 50 mm (2 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,883,710,21,,6,Quenched (oil) & tempered – high-strength structural steel
28,AISI 4118 Steel,"Annealed At 870C (1600F), Furnace Cooled At 11C (20F)/Hour, 25 mm (1 In.) Round",,7,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,517,365,33,,7,Annealed – easy-to-machine – round annealed stock
29,AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,583,386,32,,4,Normalized (air cooled) – general-purpose steel
30,AISI 4140 Steel,"Oil Quenched, 100 mm (4 In.) Round [845C (1550F) Quench, 540C (1000F) Temper]",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,883,685,19,,6,Quenched (oil) & tempered – high-strength structural steel
31,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 855C (1570F) And Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.4,0,0.035,0.25,0,0.25,0,0.225,0,0,0,,786,495,22,,0,Carburized – quenched (oil) – wear-resistant surface steel
32,AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 25 mm (1 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,958,841,18,,10,Quenched (water) & tempered – high-strength structural steel
33,AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 14 mm (0.55 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,993,896,17,,10,Quenched (water) & tempered – high-strength structural steel
34,AISI 4118 Steel,"Single Quenched And Tempered, Carburized, 150C (300F) Temper",,5,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,986,650,18,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
35,AISI 4130H Steel,"Normalized At 870C (1600F), Air Cooled, 50 mm (2 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,615,425,28,,4,Normalized (air cooled) – general-purpose steel
36,AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1020,655,17,,4,Normalized (air cooled) – general-purpose steel
37,AISI 4027 Steel,"Normalized, 100 mm (4 In.) Round",,9,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,565,350,28,,9,Normalized – general-purpose steel (round normalized stock)
38,AISI 4140 Steel,"Oil Quenched, 315C (600F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1585,1345,11,,6,Quenched (oil) & tempered – high-strength structural steel
39,AISI 4140 Steel,"Oil Quenched, 205C (400F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1795,1515,8,,6,Quenched (oil) & tempered – high-strength structural steel
40,AISI 4130H Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,841,685,21,,10,Quenched (water) & tempered – high-strength structural steel
41,AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 50 mm (2 In.) Round",,4,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,972,635,16,,4,Normalized (air cooled) – general-purpose steel
42,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 370C (700F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1595,1460,12,,0,Carburized – quenched (oil) – wear-resistant surface steel
43,AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 25 mm (1 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,786,640,23,,10,Quenched (water) & tempered – high-strength structural steel
44,AISI 4118H Steel,"Normalized At 910C (1670F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.8,0,0,0,0.04,98.085,0,0.035,0.225,0,0.115,0,0.2,0,0,0.5,,583,386,32,,4,Normalized (air cooled) – general-purpose steel
45,AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",,4,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,534,376,34,,4,Normalized (air cooled) – general-purpose steel
46,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 14 mm (0.55 In.) Round",,10,,0,0,0.8,0,0,0,0.04,98.35,0,0.035,0.25,0,0.25,0,0.275,0,0,0,,1075,986,15,,10,Quenched (water) & tempered – high-strength structural steel
47,AISI 4130 Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,841,685,21,,10,Quenched (water) & tempered – high-strength structural steel
48,AISI 4130 Steel,"Annealed At 865C (1585F), Furnace Cooled 11C (20F)/Hour To 680C (1255F), Air Cooled, 25 mm (1 In.) Round",,7,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,560,460,21,,7,Annealed – easy-to-machine – round annealed stock
49,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 260C (500F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1860,1655,11,,0,Carburized – quenched (oil) – wear-resistant surface steel
50,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 425C (800F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.245,0,0.035,0.25,0,0.2,0,0.405,0,0,0.95,,1450,1345,15,,0,Carburized – quenched (oil) – wear-resistant surface steel
51,AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 14 mm (0.55 In.) Round",,4,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,586,393,31,,4,Normalized (air cooled) – general-purpose steel
52,AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,807,600,21,,6,Quenched (oil) & tempered – high-strength structural steel
